"date","token_address","wallet_address","sol_drained","tx_hash_buy","tx_hash_sell","victim_wallet_address","victim_amount_in","victim_tx_hash","slot","timestamp","source","lp"
"2025-02-27","EevQnfEtLn7Y4jgpPvb4Faqqvo59wVwmUeKfYMwDpump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","804697852","3hpPrkCdpbkBeRE1MjdCQ8VXugE54TkgKtuhiMzohZ9EGHfWEhPs1GGo2Tzmh9xUKy6vtRvgzWwCQQMfoMFK3XW8","5ToHLywTGLe1eKxYqX9vTsxnyu4NLfin5ekUPHUsnm6KTBTfKtsQ679QiBUCV1QsN34of5ehCYdtv9Kc49xiiyFY","EvyqFNBU1SyruF1pZFee7dkkJxuJC45U7wiBsvSd1MoR","3000000000","12AEuREdvM6cbSpePpW9na7UVrPmcUv3C5ijvWxT6wHEcSayD5fAG8vnQeDnhRWYBysgRCuaQBEPzwEs7SF64cdn","323503618","2025-02-27 20:10:43+00","raydium","4rYn47NEdtgwMstBGSnssLW14BhTV8qV5zt1D77X7Yi6"
"2025-02-27","5UEh2Mpb2ryCCDXiWVV6ueJTP26i63PQHzv6zkwpump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","1637787","32PGkKrB9vURgC1fWPUsRV4eguodsMGDmNUxvRTTwJf8KvRWaDuP3D7qQP1D6xnq9pUwZqjsKbS84RZddEJdzv3Q","5zyZxmPgJfLHeCTQzgHJwFbGdRqKzmU9rnNWzhxDnvQXjsd43ifJAi8CE3WiUsePrbHZZVQ6DGPcKJVMmFRaRr4f","5Hs9MubDwR3x3cSZFdP5FgPJgEYuqRGrSRdEJ8F5cR3r","900000000","tHJkUED6fARYYVavELwafhidvhtEZjSAFEphWYY4oAU3UbgikuJUmjY6VdQxk7uKobv34xjEU5LDjcubGSNyYw6","323503618","2025-02-27 20:10:43+00","raydium","3j9fXiNBFN8zecV1kTdpR5Wn66D4qmqkjv4MAKvED6hS"
"2025-02-27","9f7ckpGmyg637DaikEA9Da4mkkvBKcJoFBtDnR1pump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","947297","2bGVZaDqXTGaXUTmYBoLXpnrZXPhsCxbmMPg4TxXijT7XCq2UPLjLQ7hDcMTs5UUxeeq4y43oafwa5xo1rBkT3Va","2Vye4rLZHCHtk7kuMLw6SMkkxy9mbcpmVa1M1GwQQZNhxBtFzArz7JiNuSDSnDhrwb7X7ZcyGUjQWbcL9mztixTr","2RP9n3cJNNFb5AgRzUAAt53c1y9LgGiGeLzTt9svBaLe","300000000","62XX67CrnzH48xugTTeaFqQKd1a5Vbm5SbwLycSowXfPbiAyyhrc2qfhBefjvrJbzGgCAoLJ9mRRpG4KTYdk3mRh","323503618","2025-02-27 20:10:43+00","raydium","Hb9Wb5Wp3SWuegwvQg16uBPautt6kFaetWjQkZBEoaqB"
"2025-02-27","uiXhY5xcmeY8HbHZbd8N5cEBw7M3zgcHYse4V5epump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","468932115","fRC9nBmkNeGvwbD6HYDQPjBjY1PnAo9uVdN6T4NQv49SFrnzckRPQjTR8ErdykonDp4NakzEtam9ji3z8sMZoph","4gXbtWsAFk5b6jEDCksZysiuZPHNcod9sFbe4t9xAoCbK6d1RQywRoAsi6fL5aRMXhe6uwVUvgd8nVQvDGFbRdW2","BcqsbN1s9NYhXwUKfYzzz8H56XibCu8SLvfEhoPJWSuJ","1500000000","4Eae8oq2Z4UfpJyZQGgE7gFgJGELgFVkPmYzRZ4GhuK9WC3aUc3KCm3FrW1yu2HSS454ZYsaeELYMGRYzvsmiJRC","323503618","2025-02-27 20:10:43+00","raydium","BCii839f5huLdQtzQcFpvVrv6qbTizkKr2G9uPrQTGkg"
"2025-02-27","uiXhY5xcmeY8HbHZbd8N5cEBw7M3zgcHYse4V5epump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","222606933","YXta5mbAYyAVgtRxt2Gznt2xLkccBJWeu5HmBMCyWkiDSL5rWVK86sQWBuAzhRJo8MKUe9q3Dq8sLHStammC7Bs","54jqSyHw9yyNAnf2SW1oFN7M1uKLPtkYCM1UXn3ErrK5xo1dxR22stjiZmw8JeAqCMKYDAeWyp9jT3hipL9sHnn","EqpVnZ8ppSwgqXDoXcpb9KLndSaSj75cgaQD8H7Adqrm","1000000000","4qwvsbTSXeNip49A46dayWEEQVhEaz2azGYi5jFHN4J9Zwh4KEBMU3PUsPYGwx3RHt9QpW6734WLhwUE1imr4yDh","323503618","2025-02-27 20:10:43+00","raydium","BCii839f5huLdQtzQcFpvVrv6qbTizkKr2G9uPrQTGkg"
"2025-02-27","uiXhY5xcmeY8HbHZbd8N5cEBw7M3zgcHYse4V5epump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","221090355","5Yrfgdyy81bHUDKZAJN3hvaEaucfKLLvwG2YgCMB4MpAAHqhVxPmT3hxYpSG2BeXA8T7CTUFiapoJbwQpmSWW2ia","2yRKZrzDQZkfjpWsYs6oSiZMZXKMJpKkah7kaMy5yRM1WbYCQYo2wmHDyYKVSh6njth1urNjJjXBuSAHQJ5TtXXj","271NyiDhm5itE6NChjfN432NUjZqTfDZzsHwZVmS63cX","1000000000","3re2zen9WLhs5hCd5FeMjy2yrMSurcCYbtMh8u1F7MM9EfD8bz8ufMtjwZNQpRZWgkte5owYM24cDnHhLJbejy2N","323503618","2025-02-27 20:10:43+00","raydium","BCii839f5huLdQtzQcFpvVrv6qbTizkKr2G9uPrQTGkg"
"2025-02-27","EzM1VsU1NTDjFfxwmGR4vk95UsVjktHQsnd26zqBpump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","44226752","5E6gvA1dT3mjLtmFxJei1JndyC64zJyTR7YokhqtK6T4CLJjUeLpSyqMxrfhg1SehW4Vp1iuvJwBFbQTRFRc3xFR","26KDwYXGcaKmDpWAHuxqdybM9Ap2KVCGdhbjUCGEVD8u1U3q4CdniuU9pzPYsFvRyyQqJ8fre14ZWa6prbnmAV4c","51jtakta3Svyx2oP1DpH5cns3nTHcx21mcmDh8PwN6xT","297000000","3KSzLCYMuU3nAhdBNmfKPRRh68YZ9RJhPEfGdmi6bTDeghtcHNtMnVor7bTRGckW8LjxHxhBxSEKekSjxHaozyQD","323503618","2025-02-27 20:10:43+00","raydium","ByWcfFuXyvzjNwdhAhUKDUDkRqi7RpYde1TJsBpfNhVS"
"2025-02-27","EEbd8rgduEHSQnUfS3oopi4CmyTXprdH3pxAEvbwpump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","95049447","56ekdEZAfbieswKMXJVBfcTDhrMyRHR59WUGu5moAm28nEE79FWfx6pU8A1mq6gCc54pqH7fWGWZKX8N7Z3kyncJ","66g9H32caxemYDv1xpERRwLxPhpVRbEcDstxnQVmzxrVnmEjdcbSibyq3M7ZRuS2XzsdChfJh4sH6NJAiYRGWtPb","4xY5ejAeB8XS2zKbHwvXdMjxS2dwqPpd9iond8j1YApp","1295049448","5z1NULafCfQkWrWHhfZhsQWcpZawkYdFAYN1hcEWmL9RYABYVQ3tPLzHMj6ZAxLsHUDoStei9FFr4nsM33RtafSo","323503618","2025-02-27 20:10:43+00","pump","FYZ9xWxzKyU9bAXeJUWnKsSj38egvWWgwxsocu3CAhiX"
"2025-02-27","EEbd8rgduEHSQnUfS3oopi4CmyTXprdH3pxAEvbwpump","GHPCChGqtKf4sFaN1wPPCapcweKXBBngB3hF7D6nT29e","40881899","M8Lfs3zCvyyPTsKhY7Qv3iPhPJeKrP4viMoi6uNXcpkfyYeaLs2PkAWXuhYDHBkdGbUfjxC2HcR2SrQSqDobnso","4A7mv2i3MBtgDXoCu6r2T1X6Xp3c23DsVn8Hne9T7YZW5WE6aMeQpWhtitarfRo58ReCjJbeuLrKeKhuuE4Yq5ko","5GRffwefgYJUbQg7MrLhmSQRDZ6DssmvBkHtDiLuBZAD","1618811796","3i2ND47TmK6YsCtq767TyEM5aGLprwij2qYbcBECWftXWXdkxVX8g8hTodqLzCczfHNyqVUbHTzK9eHvdG4KrNas","323503618","2025-02-27 20:10:43+00","pump","FYZ9xWxzKyU9bAXeJUWnKsSj38egvWWgwxsocu3CAhiX"
"2025-03-11","Ta7xrAK8DnNeCS71NzyH1MkVEpy28DcPx5LPPPQpump","4vJfp62jEzcYFnQ11oBJDgj6ZFrdEwcBBpoadNTpEWys","10971841","4mNpoyHLYBozj2JE4hpizSDzCAjaa2N4gqfpL5rXft2cYPnaqD5QtpTw6HusyFPjBY64Aenx3xDxhCjShvPH1TwV","2MEJZuYYguSDk6cSMGnD9WY7b5moNWLBKDwRiJhnoMqSAJRkybfRK2uFxFRGVNABwMRTFGSNAq5bFdjcJ7w6HmZ6","6bHHyH8tBuk8eynvWyxF4PuZD3kg2PWm7yo8MMbSz4Ak","1262482962","53yBGP4DWPRKbUvJT1xe4nXJ8Vt9y7HpJTG7JTHVdxWMcnHyrBhzYcTbSvrYNquTV8XqAzG75ZaKPFgerWFCFMkM","326106794","2025-03-11 18:57:04+00","raydium","AxrG1QDMjE7QHtRjmm3XDMPjEwQNwxbmFo3dm21WYps2"
